web-scraper-order,web-scraper-start-url,skiresort_name_raw,rating_raw,length_blue_ski_slope_raw,length_red_ski_slope_raw,length_black_ski_slope_raw,altitude_start_raw,altitude_end_raw,number_of_ski_lifts_raw,cost_day_pass_raw
"1731937279-160","https://www.skiresort.ch/skigebiete/schweiz/seite/2/","Feldis","","0,3 km","7,5 km","2,5 km","1480 m","1996 m","4 Lifte/Bahnen","SFr. 39,- / ca. € 41,-"
"1731937279-161","https://www.skiresort.ch/skigebiete/schweiz/seite/2/","Axalp ob Brienz","","11 km","1,5 km","2,5 km","1422 m","1959 m","6 Lifte/Bahnen","SFr. 51,- / ca. € 54,-"
"1731937279-162","https://www.skiresort.ch/skigebiete/schweiz/seite/2/","Tschappina/​Urmein (Heinzenberg)","","4 km","21 km","0 km","1580 m","2180 m","7 Lifte/Bahnen","SFr. 36,- / ca. € 38,-"
"1731937279-163","https://www.skiresort.ch/skigebiete/schweiz/seite/2/","Wolzenalp – Krummenau","","0,2 km","9 km","3 km","728 m","1464 m","6 Lifte/Bahnen","SFr. 38,- / ca. € 40,-"
"1731937279-164","https://www.skiresort.ch/skigebiete/schweiz/seite/2/","Brunni – Engelberg","","3,7 km","2,9 km","1,9 km","1013 m","2075 m","10 Lifte/Bahnen","SFr. 46,- / ca. € 49,-"
"1731937279-165","https://www.skiresort.ch/skigebiete/schweiz/seite/2/","Pischa (Davos Klosters)","","","","","1800 m","2483 m","1 Lift/Bahn",""
"1731937279-166","https://www.skiresort.ch/skigebiete/schweiz/seite/2/","Grimmialp","","3 km","1,4 km","2,8 km","1233 m","1833 m","3 Lifte/Bahnen","SFr. 42,- / ca. € 45,-"
"1731937279-167","https://www.skiresort.ch/skigebiete/schweiz/seite/2/","Schwanden – Sigriswil","","11 km","6 km","3 km","1070 m","1460 m","3 Lifte/Bahnen","SFr. 32,- / ca. € 34,-"
"1731937279-168","https://www.skiresort.ch/skigebiete/schweiz/seite/2/","Ebenalp-Horn – Wasserauen/​Schwende","","1 km","7,5 km","1,5 km","848 m","1720 m","7 Lifte/Bahnen","SFr. 38,- / ca. € 40,-"
"1731937279-169","https://www.skiresort.ch/skigebiete/schweiz/seite/2/","Kiental","","2 km","5 km","0 km","926 m","1490 m","3 Lifte/Bahnen","SFr. 20,- / ca. € 21,-"
"1731937279-170","https://www.skiresort.ch/skigebiete/schweiz/seite/2/","Les Rasses – Sainte-Croix","","10 km","10 km","0 km","1142 m","1565 m","9 Lifte/Bahnen","SFr. 35,- / ca. € 37,-"
"1731937279-171","https://www.skiresort.ch/skigebiete/schweiz/seite/2/","Jeizinen Feselalp – Gampel/​Steg","","6 km","2 km","0 km","1519 m","2193 m","6 Lifte/Bahnen","SFr. 46,- / ca. € 49,-"
"1731937279-172","https://www.skiresort.ch/skigebiete/schweiz/seite/2/","Schatzalp – Strela","","6,1 km","1,7 km","0 km","1609 m","2352 m","4 Lifte/Bahnen","SFr. 43,- / ca. € 46,-"
"1731937279-173","https://www.skiresort.ch/skigebiete/schweiz/seite/2/","Biel-Kinzig – Bürglen","","2,5 km","4,5 km","0 km","1630 m","1930 m","5 Lifte/Bahnen","SFr. 40,- / ca. € 42,-"
"1731937279-174","https://www.skiresort.ch/skigebiete/schweiz/seite/2/","Rüschegg-Eywald – Lischboden","","8 km","4 km","1 km","1050 m","1550 m","2 Lifte/Bahnen","SFr. 38,- / ca. € 40,-"
"1731937279-175","https://www.skiresort.ch/skigebiete/schweiz/seite/2/","Espace Super Saint-Bernard – Bourg-St-Pierre  (vorübergehend außer Betrieb)","","3 km","(vorübergehend außer Betrieb)","12 km","1950 m","2800 m","3 Lifte/Bahnen","SFr. 38,- / ca. € 40,-"
"1731937279-176","https://www.skiresort.ch/skigebiete/schweiz/seite/2/","Niederhorn – Beatenberg","","2 km","3 km","0 km","1127 m","1945 m","3 Lifte/Bahnen","SFr. 42,- / ca. € 45,-"
"1731937279-177","https://www.skiresort.ch/skigebiete/schweiz/seite/2/","Mörlialp – Giswil","","2,8 km","7,2 km","2 km","1355 m","1837 m","8 Lifte/Bahnen","SFr. 45,- / ca. € 48,-"
"1731937279-178","https://www.skiresort.ch/skigebiete/schweiz/seite/2/","Eggberge – Altdorf","","4 km","4 km","0 km","1460 m","1740 m","2 Lifte/Bahnen","SFr. 32,- / ca. € 34,-"
"1731937279-179","https://www.skiresort.ch/skigebiete/schweiz/seite/2/","Languard – Pontresina","","1 km","0 km","0 km","1830 m","1920 m","5 Lifte/Bahnen","SFr. 35,- / ca. € 37,-"
"1731937279-180","https://www.skiresort.ch/skigebiete/schweiz/seite/2/","Schwefelberg – Badmatte/​Louigrat  (vorübergehend außer Betrieb)","","5 km","(vorübergehend außer Betrieb)","2 km","1386 m","1704 m","1 Lift/Bahn","SFr. 28,- / ca. € 30,-"
"1731937279-181","https://www.skiresort.ch/skigebiete/schweiz/seite/2/","Tramelan","","6 km","6 km","2 km","920 m","1228 m","3 Lifte/Bahnen","SFr. 32,- / ca. € 34,-"
"1731937279-182","https://www.skiresort.ch/skigebiete/schweiz/seite/2/","Fideriser Heuberge – Arflina","","5 km","9 km","1 km","1952 m","2356 m","4 Lifte/Bahnen","SFr. 46,- / ca. € 49,-"
"1731937279-183","https://www.skiresort.ch/skigebiete/schweiz/seite/2/","Atzmännig – Goldingen","","3 km","5 km","0 km","821 m","1198 m","5 Lifte/Bahnen","SFr. 35,- / ca. € 37,-"
"1731937279-184","https://www.skiresort.ch/skigebiete/schweiz/seite/2/","La Forclaz","","8 km","7 km","0 km","1730 m","2200 m","3 Lifte/Bahnen","SFr. 28,- / ca. € 30,-"
"1731937279-185","https://www.skiresort.ch/skigebiete/schweiz/seite/2/","Rigi – Scheidegg/​Burggeist","","5 km","0 km","0 km","1012 m","1656 m","5 Lifte/Bahnen","SFr. 34,- / ca. € 36,-"
"1731937279-186","https://www.skiresort.ch/skigebiete/schweiz/seite/2/","Rigi","","4,5 km","4,5 km","0 km","1315 m","1752 m","7 Lifte/Bahnen","SFr. 78,- / ca. € 83,-"
"1731937279-187","https://www.skiresort.ch/skigebiete/schweiz/seite/2/","Les Paccots/​Châtel-St-Denis – Corbetta","","5 km","2 km","2 km","1065 m","1593 m","11 Lifte/Bahnen","SFr. 39,- / ca. € 41,-"
"1731937279-188","https://www.skiresort.ch/skigebiete/schweiz/seite/2/","Gitschenen – Isenthal","","3 km","2 km","0 km","1353 m","1570 m","2 Lifte/Bahnen","SFr. 32,- / ca. € 34,-"
"1731937279-189","https://www.skiresort.ch/skigebiete/schweiz/seite/2/","Säntis – Schwägalp","","","","","1351 m","2473 m","1 Lift/Bahn",""
"1731937279-190","https://www.skiresort.ch/skigebiete/schweiz/seite/2/","Gspon (Staldenried)","","1,5 km","3,5 km","0 km","1865 m","2193 m","4 Lifte/Bahnen","SFr. 41,- / ca. € 43,-"
"1731937279-191","https://www.skiresort.ch/skigebiete/schweiz/seite/2/","Ratzi – Spiringen","","2 km","1,6 km","0 km","950 m","1840 m","2 Lifte/Bahnen","SFr. 36,- / ca. € 38,-"
"1731937279-192","https://www.skiresort.ch/skigebiete/schweiz/seite/2/","Avers","","2 km","2 km","4 km","1988 m","2539 m","3 Lifte/Bahnen","SFr. 33,- / ca. € 35,-"
"1731937279-193","https://www.skiresort.ch/skigebiete/schweiz/seite/2/","Les Pléiades","","4 km","4 km","0 km","1080 m","1360 m","7 Lifte/Bahnen","SFr. 37,- / ca. € 39,-"
"1731937279-194","https://www.skiresort.ch/skigebiete/schweiz/seite/2/","Selital – Schwarzenbühl","","4,7 km","4,3 km","1,1 km","1299 m","1606 m","3 Lifte/Bahnen","SFr. 40,- / ca. € 42,-"
"1731937279-195","https://www.skiresort.ch/skigebiete/schweiz/seite/2/","Le Pâquier – Crêt-du-Puy","","5,5 km","2,5 km","2 km","862 m","1263 m","3 Lifte/Bahnen","SFr. 32,- / ca. € 34,-"
"1731937279-196","https://www.skiresort.ch/skigebiete/schweiz/seite/2/","L'Abbaye","","6 km","3 km","1 km","1010 m","1437 m","4 Lifte/Bahnen","SFr. 30,- / ca. € 32,-"
"1731937279-197","https://www.skiresort.ch/skigebiete/schweiz/seite/2/","Neusell – Rothenthurm-Biberegg","","5 km","3,5 km","1,5 km","954 m","1329 m","3 Lifte/Bahnen","SFr. 29,- / ca. € 31,-"
"1731937279-198","https://www.skiresort.ch/skigebiete/schweiz/seite/2/","Les Breuleux","","5 km","4 km","1 km","1070 m","1246 m","2 Lifte/Bahnen","SFr. 24,- / ca. € 25,-"
"1731937279-199","https://www.skiresort.ch/skigebiete/schweiz/seite/2/","Bumbach (Schangnau)","","6 km","3 km","1 km","920 m","1365 m","4 Lifte/Bahnen","SFr. 35,- / ca. € 37,-"
"1731937279-200","https://www.skiresort.ch/skigebiete/schweiz/seite/2/","Habkern – Sattelegg","","2 km","4 km","2 km","1100 m","1485 m","2 Lifte/Bahnen","SFr. 37,- / ca. € 39,-"
"1731937279-201","https://www.skiresort.ch/skigebiete/schweiz/seite/2/","Aeschiried","","6,5 km","3 km","0 km","927 m","1389 m","3 Lifte/Bahnen","SFr. 35,- / ca. € 37,-"
"1731937279-202","https://www.skiresort.ch/skigebiete/schweiz/seite/2/","Bannalp – Oberrickenbach","","2,5 km","0,5 km","0 km","1663 m","1793 m","3 Lifte/Bahnen","SFr. 34,- / ca. € 36,-"
"1731937279-203","https://www.skiresort.ch/skigebiete/schweiz/seite/2/","Kerenzerberg – Filzbach","","","","","746 m","1283 m","1 Lift/Bahn",""
"1731937279-204","https://www.skiresort.ch/skigebiete/schweiz/seite/2/","Fanas","","0,5 km","0 km","0 km","900 m","1700 m","2 Lifte/Bahnen",""
"1731937279-205","https://www.skiresort.ch/skigebiete/schweiz/seite/2/","Schilt – Mollis","","3 km","3 km","0 km","1100 m","1602 m","2 Lifte/Bahnen","SFr. 33,- / ca. € 35,-"
"1731937279-206","https://www.skiresort.ch/skigebiete/schweiz/seite/2/","Rathvel – Châtel-St-Denis","","5 km","3 km","0 km","1211 m","1491 m","4 Lifte/Bahnen","SFr. 30,- / ca. € 32,-"
"1731937279-207","https://www.skiresort.ch/skigebiete/schweiz/seite/2/","Rossberg – Oberwil","","3,2 km","3,8 km","0 km","1148 m","1464 m","2 Lifte/Bahnen","SFr. 37,- / ca. € 39,-"
"1731937279-208","https://www.skiresort.ch/skigebiete/schweiz/seite/2/","Sollegg – Appenzell","","5 km","2 km","0 km","813 m","1204 m","2 Lifte/Bahnen","SFr. 27,- / ca. € 29,-"
"1731937279-209","https://www.skiresort.ch/skigebiete/schweiz/seite/2/","L'Orient","","2 km","3 km","1 km","1010 m","1283 m","2 Lifte/Bahnen","SFr. 30,- / ca. € 32,-"
"1731937279-210","https://www.skiresort.ch/skigebiete/schweiz/seite/2/","Jaunpass – Boltigen","","3,8 km","1,2 km","1 km","1406 m","1608 m","4 Lifte/Bahnen","SFr. 34,- / ca. € 36,-"
"1731937279-211","https://www.skiresort.ch/skigebiete/schweiz/seite/2/","Seebodenalp – Küssnacht","","2 km","0,5 km","0 km","1036 m","1225 m","3 Lifte/Bahnen","SFr. 15,- / ca. € 16,-"
"1731937279-212","https://www.skiresort.ch/skigebiete/schweiz/seite/2/","Springenboden","","1,5 km","4 km","0,5 km","1207 m","1525 m","3 Lifte/Bahnen","SFr. 28,- / ca. € 30,-"
"1731937279-213","https://www.skiresort.ch/skigebiete/schweiz/seite/2/","Gantrisch Gurnigel","","4 km","2 km","0 km","1340 m","1590 m","3 Lifte/Bahnen","SFr. 37,- / ca. € 39,-"
"1731937279-214","https://www.skiresort.ch/skigebiete/schweiz/seite/2/","Brüsti – Attinghausen","","0,1 km","1,4 km","0 km","1428 m","1601 m","4 Lifte/Bahnen","SFr. 32,- / ca. € 34,-"
"1731937279-215","https://www.skiresort.ch/skigebiete/schweiz/seite/2/","Dent de Vaulion – Le Morez","","2,5 km","1,5 km","1 km","1150 m","1478 m","2 Lifte/Bahnen","SFr. 30,- / ca. € 32,-"
"1731937279-216","https://www.skiresort.ch/skigebiete/schweiz/seite/2/","Le Brassus","","2,5 km","1,5 km","1 km","1060 m","1361 m","2 Lifte/Bahnen","SFr. 30,- / ca. € 32,-"
"1731937279-217","https://www.skiresort.ch/skigebiete/schweiz/seite/2/","Eriz","","4 km","2 km","0 km","1044 m","1378 m","6 Lifte/Bahnen","SFr. 34,- / ca. € 36,-"
"1731937279-218","https://www.skiresort.ch/skigebiete/schweiz/seite/2/","Wirzweli – Dallenwil","","1 km","0 km","0 km","1215 m","1350 m","3 Lifte/Bahnen","SFr. 31,- / ca. € 33,-"
"1731937279-219","https://www.skiresort.ch/skigebiete/schweiz/seite/2/","Steg im Tösstal","","3 km","2 km","0 km","700 m","1000 m","2 Lifte/Bahnen","SFr. 30,- / ca. € 32,-"
"1731937279-220","https://www.skiresort.ch/skigebiete/schweiz/seite/2/","Balmberg","","2 km","3 km","0 km","1062 m","1270 m","3 Lifte/Bahnen","SFr. 32,- / ca. € 34,-"
"1731937279-221","https://www.skiresort.ch/skigebiete/schweiz/seite/2/","Prato (Leventina)","","1 km","2 km","1 km","1045 m","1270 m","2 Lifte/Bahnen","SFr. 21,- / ca. € 22,-"
"1731937279-222","https://www.skiresort.ch/skigebiete/schweiz/seite/2/","Pany (Luzein)","","3 km","2 km","0 km","1330 m","1550 m","2 Lifte/Bahnen","SFr. 32,- / ca. € 34,-"
"1731937279-223","https://www.skiresort.ch/skigebiete/schweiz/seite/2/","Les Prés d'Orvin","","2,5 km","2,5 km","0 km","1030 m","1230 m","5 Lifte/Bahnen","SFr. 30,- / ca. € 32,-"
"1731937279-224","https://www.skiresort.ch/skigebiete/schweiz/seite/2/","Haldigrat","","","","","1230 m","1937 m","1 Lift/Bahn",""
"1731937279-225","https://www.skiresort.ch/skigebiete/schweiz/seite/2/","Heiden – Bischofsberg","","4 km","1 km","0 km","810 m","940 m","2 Lifte/Bahnen","SFr. 28,- / ca. € 30,-"
"1731937279-226","https://www.skiresort.ch/skigebiete/schweiz/seite/2/","La Corbatière – La Roche-aux-Crocs","","2,1 km","1,5 km","1 km","1090 m","1348 m","3 Lifte/Bahnen","SFr. 25,- / ca. € 27,-"
"1731937279-227","https://www.skiresort.ch/skigebiete/schweiz/seite/2/","Tenna","","3,5 km","1 km","0 km","1660 m","1780 m","1 Lift/Bahn","SFr. 25,- / ca. € 27,-"
"1731937279-228","https://www.skiresort.ch/skigebiete/schweiz/seite/2/","Les Genevez","","2 km","1,5 km","0,5 km","1024 m","1147 m","2 Lifte/Bahnen","SFr. 20,- / ca. € 21,-"
"1731937279-229","https://www.skiresort.ch/skigebiete/schweiz/seite/2/","Fischenthal-Aurüti – Oberegg","","1,7 km","1,5 km","0,8 km","827 m","1052 m","2 Lifte/Bahnen","SFr. 29,- / ca. € 31,-"
"1731937279-230","https://www.skiresort.ch/skigebiete/schweiz/seite/2/","Vorderthal – Skilift Wägital","","2 km","1 km","0 km","750 m","1260 m","1 Lift/Bahn",""
"1731937279-231","https://www.skiresort.ch/skigebiete/schweiz/seite/2/","Alpsteinblick – Gonten","","3 km","1 km","0 km","890 m","1142 m","3 Lifte/Bahnen","SFr. 27,- / ca. € 29,-"
"1731937279-232","https://www.skiresort.ch/skigebiete/schweiz/seite/2/","Oberholz – Farner","","3 km","1 km","0 km","852 m","1155 m","3 Lifte/Bahnen","SFr. 32,- / ca. € 34,-"
"1731937279-233","https://www.skiresort.ch/skigebiete/schweiz/seite/2/","Tanzboden – Ebnat-Kappel","","2 km","1,5 km","0 km","865 m","1181 m","2 Lifte/Bahnen","SFr. 32,- / ca. € 34,-"
"1731937279-234","https://www.skiresort.ch/skigebiete/schweiz/seite/2/","Hohwald – Beatenberg-Waldegg","","2 km","2 km","0 km","1291 m","1605 m","3 Lifte/Bahnen","SFr. 32,- / ca. € 34,-"
"1731937279-235","https://www.skiresort.ch/skigebiete/schweiz/seite/2/","Pian Cales – San Bernardino","","2,9 km","1,6 km","0 km","1625 m","1791 m","4 Lifte/Bahnen","SFr. 25,- / ca. € 27,-"
"1731937279-236","https://www.skiresort.ch/skigebiete/schweiz/seite/2/","Hohe Winde – Beinwil","","3 km","1 km","0 km","760 m","1060 m","2 Lifte/Bahnen","SFr. 28,- / ca. € 30,-"
"1731937279-237","https://www.skiresort.ch/skigebiete/schweiz/seite/2/","Heiligkreuz-First – Hasle","","2 km","2 km","0 km","1133 m","1468 m","2 Lifte/Bahnen","SFr. 25,- / ca. € 27,-"
"1731937279-238","https://www.skiresort.ch/skigebiete/schweiz/seite/2/","Ottenleue – Sangernboden","","1,7 km","1,1 km","0,8 km","1450 m","1600 m","1 Lift/Bahn","SFr. 26,- / ca. € 28,-"
"1731937279-239","https://www.skiresort.ch/skigebiete/schweiz/seite/2/","Dent de Jaman – Montreux","","0 km","3 km","0 km","1354 m","1738 m","2 Lifte/Bahnen","SFr. 37,- / ca. € 39,-"
"1731937279-240","https://www.skiresort.ch/skigebiete/schweiz/seite/2/","Gurten – Bern","","0,2 km","0 km","0 km","845 m","855 m","2 Lifte/Bahnen","SFr. 5,- / ca. € 5,-"
"1731937279-241","https://www.skiresort.ch/skigebiete/schweiz/seite/2/","Sommartel – Le Locle","","1,6 km","0,6 km","0,8 km","1117 m","1301 m","2 Lifte/Bahnen","SFr. 20,- / ca. € 21,-"
"1731937279-242","https://www.skiresort.ch/skigebiete/schweiz/seite/2/","Aela – Maloja","","0,5 km","1,5 km","1 km","1801 m","2136 m","2 Lifte/Bahnen","SFr. 35,- / ca. € 37,-"
"1731937279-243","https://www.skiresort.ch/skigebiete/schweiz/seite/2/","Mastrils","","2 km","1 km","0 km","720 m","940 m","1 Lift/Bahn","SFr. 18,- / ca. € 19,-"
"1731937279-244","https://www.skiresort.ch/skigebiete/schweiz/seite/2/","Chapeau Râblé – La Chaux-de-Fonds","","2 km","1 km","0 km","1087 m","1233 m","1 Lift/Bahn","SFr. 24,- / ca. € 25,-"
"1731937279-245","https://www.skiresort.ch/skigebiete/schweiz/seite/2/","Le Crêt-Meuron – Fontaines (Les Gollières)","","2 km","1 km","0 km","1270 m","1340 m","1 Lift/Bahn","SFr. 25,- / ca. € 27,-"
"1731937279-246","https://www.skiresort.ch/skigebiete/schweiz/seite/2/","Zugerberg","","0,2 km","0 km","0 km","925 m","940 m","3 Lifte/Bahnen","SFr. 5,- / ca. € 5,-"
"1731937279-247","https://www.skiresort.ch/skigebiete/schweiz/seite/2/","Eggiwil – Netschbühl","","2,5 km","0,5 km","0 km","720 m","1020 m","1 Lift/Bahn","SFr. 27,- / ca. € 29,-"
"1731937279-248","https://www.skiresort.ch/skigebiete/schweiz/seite/2/","Gfellen – Entlebuch-Finsterwald","","4,5 km","0 km","0 km","1025 m","1295 m","2 Lifte/Bahnen","SFr. 25,- / ca. € 27,-"
"1731937279-249","https://www.skiresort.ch/skigebiete/schweiz/seite/2/","St. Antönien","","2 km","1 km","0 km","1405 m","1656 m","2 Lifte/Bahnen",""
"1731937279-250","https://www.skiresort.ch/skigebiete/schweiz/seite/2/","St. Cergue","","2 km","1 km","0 km","1040 m","1220 m","3 Lifte/Bahnen","SFr. 20,- / ca. € 21,-"
"1731937279-251","https://www.skiresort.ch/skigebiete/schweiz/seite/2/","Mutten","","3 km","0 km","0 km","1724 m","1863 m","1 Lift/Bahn","SFr. 23,- / ca. € 24,-"
"1731937279-252","https://www.skiresort.ch/skigebiete/schweiz/seite/2/","Langenbruck – Untere/​Obere Wanne","","3 km","0 km","0 km","720 m","940 m","2 Lifte/Bahnen","SFr. 35,- / ca. € 37,-"
"1731937279-253","https://www.skiresort.ch/skigebiete/schweiz/seite/2/","Münster-Geschinen","","3 km","0 km","0 km","1363 m","1645 m","2 Lifte/Bahnen","SFr. 25,- / ca. € 27,-"
"1731937279-254","https://www.skiresort.ch/skigebiete/schweiz/seite/2/","Oberegg – Skilift St. Anton","","3,5 km","0 km","0 km","855 m","1110 m","1 Lift/Bahn","SFr. 28,- / ca. € 30,-"
"1731937279-255","https://www.skiresort.ch/skigebiete/schweiz/seite/2/","Homberg","","3 km","0 km","0 km","940 m","1093 m","1 Lift/Bahn","SFr. 20,- / ca. € 21,-"
"1731937279-256","https://www.skiresort.ch/skigebiete/schweiz/seite/2/","La Chia – Bulle","","3 km","0 km","0 km","998 m","1309 m","1 Lift/Bahn","SFr. 20,- / ca. € 21,-"
"1731937279-257","https://www.skiresort.ch/skigebiete/schweiz/seite/2/","La Côte-aux-Fées","","3 km","0 km","0 km","980 m","1080 m","1 Lift/Bahn",""
"1731937279-258","https://www.skiresort.ch/skigebiete/schweiz/seite/2/","Degersheim – Fuchsacker","","3 km","0 km","0 km","815 m","1034 m","3 Lifte/Bahnen","SFr. 30,- / ca. € 32,-"
"1731937279-259","https://www.skiresort.ch/skigebiete/schweiz/seite/2/","Lauenen","","1,3 km","1,2 km","0 km","1240 m","1400 m","1 Lift/Bahn","SFr. 37,- / ca. € 39,-"
"1731937279-260","https://www.skiresort.ch/skigebiete/schweiz/seite/2/","Saint-George","","1,2 km","0,8 km","0 km","977 m","1140 m","2 Lifte/Bahnen","SFr. 20,- / ca. € 21,-"
"1731937279-261","https://www.skiresort.ch/skigebiete/schweiz/seite/2/","Rochers de Naye – Montreux","","0,6 km","0,4 km","0 km","1898 m","2012 m","3 Lifte/Bahnen","SFr. 37,- / ca. € 39,-"
"1731937279-262","https://www.skiresort.ch/skigebiete/schweiz/seite/2/","Tèct/​Zinols – Bergün","","2 km","0 km","0 km","1371 m","1540 m","2 Lifte/Bahnen","SFr. 35,- / ca. € 37,-"
"1731937279-263","https://www.skiresort.ch/skigebiete/schweiz/seite/2/","Oberiberg","","2,2 km","0 km","0 km","1080 m","1355 m","4 Lifte/Bahnen","SFr. 28,- / ca. € 30,-"
"1731937279-264","https://www.skiresort.ch/skigebiete/schweiz/seite/2/","Campo Blenio","","2 km","0 km","0 km","1207 m","1578 m","3 Lifte/Bahnen","SFr. 32,- / ca. € 34,-"
"1731937279-265","https://www.skiresort.ch/skigebiete/schweiz/seite/2/","Flensa – Seewis","","2 km","0 km","0 km","1015 m","1185 m","1 Lift/Bahn","SFr. 20,- / ca. € 21,-"
"1731937279-266","https://www.skiresort.ch/skigebiete/schweiz/seite/2/","Druni KidsArena – Valtgeva","","2 km","0 km","0 km","1447 m","1538 m","3 Lifte/Bahnen","SFr. 27,- / ca. € 29,-"
"1731937279-267","https://www.skiresort.ch/skigebiete/schweiz/seite/2/","Hochwacht – Mosnang","","0,8 km","0,6 km","0,4 km","720 m","835 m","1 Lift/Bahn","SFr. 18,- / ca. € 19,-"
"1731937279-268","https://www.skiresort.ch/skigebiete/schweiz/seite/2/","Grub-Kaien","","2 km","0 km","0 km","845 m","1065 m","1 Lift/Bahn","SFr. 30,- / ca. € 32,-"
"1731937279-269","https://www.skiresort.ch/skigebiete/schweiz/seite/2/","Schwengimatt","","1 km","0,5 km","0,2 km","993 m","1110 m","1 Lift/Bahn","SFr. 17,- / ca. € 18,-"
"1731937279-270","https://www.skiresort.ch/skigebiete/schweiz/seite/2/","Linden – Schindelberg","","2,2 km","0 km","0 km","920 m","1088 m","3 Lifte/Bahnen","SFr. 33,- / ca. € 35,-"
"1731937279-271","https://www.skiresort.ch/skigebiete/schweiz/seite/2/","Faltschen – Reichenbach","","2,2 km","0 km","0 km","1032 m","1359 m","2 Lifte/Bahnen","SFr. 32,- / ca. € 34,-"
"1731937279-272","https://www.skiresort.ch/skigebiete/schweiz/seite/2/","Schafmatt – Oltingen","","0,6 km","0,4 km","0 km","730 m","857 m","1 Lift/Bahn","SFr. 12,- / ca. € 13,-"
"1731937279-273","https://www.skiresort.ch/skigebiete/schweiz/seite/2/","Friherrenberg – Einsiedeln","","2 km","0 km","0 km","918 m","1113 m","2 Lifte/Bahnen","SFr. 27,- / ca. € 29,-"
"1731937279-274","https://www.skiresort.ch/skigebiete/schweiz/seite/2/","Heiti – Gsteig bei Gstaad","","0,7 km","0,6 km","0 km","1227 m","1370 m","1 Lift/Bahn","SFr. 84,- / ca. € 89,-"
"1731937279-275","https://www.skiresort.ch/skigebiete/schweiz/seite/2/","Nollen – Unterägeri","","2 km","0 km","0 km","765 m","1046 m","2 Lifte/Bahnen","SFr. 20,- / ca. € 21,-"
"1731937279-276","https://www.skiresort.ch/skigebiete/schweiz/seite/2/","Brunni – Alpthal","","1,1 km","0,2 km","0 km","1100 m","1200 m","1 Lift/Bahn","SFr. 28,- / ca. € 30,-"
"1731937279-277","https://www.skiresort.ch/skigebiete/schweiz/seite/2/","Nods","","1,2 km","0,8 km","0 km","950 m","1025 m","3 Lifte/Bahnen","SFr. 16,- / ca. € 17,-"
"1731937279-278","https://www.skiresort.ch/skigebiete/schweiz/seite/2/","Mogno","","1,2 km","0,3 km","0 km","1150 m","1275 m","2 Lifte/Bahnen","SFr. 16,- / ca. € 17,-"
"1731937279-279","https://www.skiresort.ch/skigebiete/schweiz/seite/2/","Hätzingen – Loh","","1 km","0 km","0 km","615 m","701 m","1 Lift/Bahn","SFr. 14,- / ca. € 15,-"
"1731937279-280","https://www.skiresort.ch/skigebiete/schweiz/seite/2/","Hapfere – Plaffeien","","1 km","0 km","0 km","850 m","935 m","1 Lift/Bahn","SFr. 20,- / ca. € 21,-"
"1731937279-281","https://www.skiresort.ch/skigebiete/schweiz/seite/2/","Téléconthey – Mayens de Conthey","","1 km","0 km","0 km","1281 m","1439 m","1 Lift/Bahn","SFr. 20,- / ca. € 21,-"
"1731937279-282","https://www.skiresort.ch/skigebiete/schweiz/seite/2/","Dreieck – Glarus","","1 km","0 km","0 km","513 m","682 m","1 Lift/Bahn","SFr. 18,- / ca. € 19,-"
"1731937279-283","https://www.skiresort.ch/skigebiete/schweiz/seite/2/","Tristeli – St. Margrethenberg","","1 km","0 km","0 km","1195 m","1447 m","1 Lift/Bahn","SFr. 28,- / ca. € 30,-"
"1731937279-284","https://www.skiresort.ch/skigebiete/schweiz/seite/2/","Heimenschwand – Buchholterberg","","1 km","0 km","0 km","1005 m","1183 m","1 Lift/Bahn","SFr. 28,- / ca. € 30,-"
"1731937279-285","https://www.skiresort.ch/skigebiete/schweiz/seite/2/","Chuderhüsi – Röthenbach","","1 km","0 km","0 km","1018 m","1091 m","1 Lift/Bahn","SFr. 24,- / ca. € 25,-"
"1731937279-286","https://www.skiresort.ch/skigebiete/schweiz/seite/2/","Péra – Trun","","1,2 km","0 km","0 km","920 m","1040 m","1 Lift/Bahn","SFr. 24,- / ca. € 25,-"
"1731937279-287","https://www.skiresort.ch/skigebiete/schweiz/seite/2/","Sattelegg – Vorderthal/​Einsiedeln-Willerzell","","1 km","0 km","0 km","1180 m","1220 m","1 Lift/Bahn","SFr. 18,- / ca. € 19,-"
"1731937279-288","https://www.skiresort.ch/skigebiete/schweiz/seite/2/","Buchserberg-Malbun – Buchs","","1,2 km","0 km","0 km","1379 m","1485 m","1 Lift/Bahn","SFr. 18,- / ca. € 19,-"
"1731937279-289","https://www.skiresort.ch/skigebiete/schweiz/seite/2/","Föhrlimatt – Wegenstetten","","1 km","0 km","0 km","500 m","575 m","1 Lift/Bahn","SFr. 18,- / ca. € 19,-"
"1731937279-290","https://www.skiresort.ch/skigebiete/schweiz/seite/2/","Lüina – Airolo","","1 km","0 km","0 km","1180 m","1250 m","2 Lifte/Bahnen","SFr. 22,- / ca. € 23,-"
"1731937279-291","https://www.skiresort.ch/skigebiete/schweiz/seite/2/","Vögelinsegg – Speicher","","1 km","0 km","0 km","970 m","1030 m","1 Lift/Bahn","SFr. 26,- / ca. € 28,-"
"1731937279-292","https://www.skiresort.ch/skigebiete/schweiz/seite/2/","Hemberg","","1,5 km","0 km","0 km","900 m","1193 m","2 Lifte/Bahnen","SFr. 27,- / ca. € 29,-"
