skiregion1,skiregion2,ort,length_total_slope,length_blue_slope,length_red_slope,length_black_slope,altitude_start,altitude_end,altitude_difference,number_of_ski_lifts,price_day_pass_chf,price_day_pass_euro,rating,lat,lon
Weisstannen,,Weisstannen,0.2,0.2,0.0,0.0,984,1022,38,1,,,2.0,47.15221405029297,9.161084175109863
Wiesen,Gruob,Gruob,0.1,0.1,0.0,0.0,1400,1410,10,1,,,2.0,46.87482452392578,8.376697540283203
Saalhöhe,,Saalhöhe,0.3,0.3,0.0,0.0,720,775,55,1,,,2.0,47.42837142944336,7.986265659332275
Urnerboden,,Urnerboden,0.3,0.3,0.0,0.0,1360,1420,60,1,,,2.0,46.88987350463867,8.90141773223877
Rotberg,Villigen,Villigen,0.2,0.2,0.0,0.0,560,600,40,1,,,2.0,47.5350456237793,8.222710609436035
Schermtanne,Stiegelschwand,Stiegelschwand,0.2,0.2,0.0,0.0,1481,1509,28,1,,,2.0,46.48775863647461,7.546182632446289
Dicki,Weisslingen,Weisslingen,0.2,0.2,0.0,0.0,590,620,30,1,,,2.0,47.43414306640625,8.767495155334473
Walenstadtberg,,Walenstadtberg,0.3,0.3,0.0,0.0,850,930,80,1,,,2.0,47.1474723815918,9.266605377197266
Orgevaux,,Orgevaux,0.2,0.2,0.0,0.0,1304,1348,44,1,,,2.0,46.31386947631836,7.146988391876221
Gsahl,Hauenstein-Ifenthal,Hauenstein-Ifenthal,0.4,0.4,0.0,0.0,760,800,40,2,,,2.0,47.37782669067383,7.872191429138184
Loco Ski Academy,Saillon,Saillon,0.1,0.1,0.0,0.0,468,471,3,0,,,2.0,46.16548156738281,7.18261194229126
Saint Luc,,Saint Luc,60.0,20.0,30.0,10.0,1680,2980,1300,15,65.0,69.0,3.3,46.5181770324707,6.6313347816467285
Leysin,,Leysin,60.0,43.0,15.0,2.0,1250,2198,948,12,68.0,73.0,3.3,46.34001922607422,7.0110015869140625
Betelberg,Lenk,Lenk,42.0,21.7,19.4,0.9,1083,2001,918,11,62.0,66.0,3.3,46.45768737792969,7.442668437957764
Melchsee-Frutt,,Melchsee-Frutt,36.0,20.0,6.0,10.0,1080,2255,1175,15,59.0,63.0,3.3,46.7745361328125,8.268563270568848
Charmey,,Charmey,30.0,19.5,7.5,3.0,875,1626,751,5,46.0,49.0,3.3,46.61914825439453,7.1541643142700195
Vercorin,,Vercorin,35.0,13.0,19.0,3.0,1340,2374,1034,10,60.0,64.0,3.2,46.252410888671875,7.519947528839111
Vals,Vals,Vals,25.0,5.0,15.0,5.0,1286,2851,1565,6,39.0,42.0,3.2,46.53512954711914,9.868732452392578
Sörenberg,Rothorn,Rothorn,42.0,24.0,10.0,8.0,1110,2298,1188,14,58.0,62.0,3.2,46.82267761230469,8.033469200134277
Rotenfluh,,Rotenfluh,50.0,18.0,31.0,1.0,1070,1593,523,17,49.0,52.0,3.2,47.01824951171875,8.700359344482422
Ovronnaz,,Ovronnaz,30.0,5.0,20.0,5.0,1400,2427,1027,7,61.0,65.0,3.2,46.2025146484375,7.166605472564697
Nara,Leontica,Leontica,30.0,10.0,15.0,5.0,925,2123,1198,7,42.0,45.0,3.2,46.45576095581055,8.919452667236328
Glacier 3000,Les Diablerets,Les Diablerets,31.0,14.5,5.5,11.0,1343,3016,1673,11,79.0,84.0,3.2,46.355125427246094,7.169826507568359
La Berra,La Roche,La Roche,25.0,5.0,20.0,0.0,1040,1636,596,6,41.0,44.0,3.1,46.9293098449707,6.744411945343018
Leukerbad,,Leukerbad,47.5,3.5,27.0,17.0,1411,2610,1199,13,65.0,69.0,3.1,46.43210983276367,7.6248979568481445
Bosco Gurin,Grossalp,Grossalp,30.0,1.0,25.0,4.0,1482,2331,849,7,57.0,61.0,3.1,46.31779098510742,8.47115421295166
Klewenalp,Beckenried,Beckenried,40.0,15.0,25.0,0.0,1199,1938,739,15,58.0,62.0,3.1,46.80857467651367,7.270735263824463
Tschiertschen,,Tschiertschen,32.0,15.0,14.0,3.0,1350,2381,1031,4,61.0,65.0,3.1,46.817970275878906,9.606547355651855
Carì,,Carì,20.0,8.0,8.0,4.0,1650,2280,630,4,48.0,51.0,3.1,46.497684478759766,8.82414436340332
Les Marécottes,,Les Marécottes,9.0,2.7,5.0,1.3,1110,2220,1110,4,49.0,52.0,3.1,46.11037826538086,7.007007598876953
Wasserngrat,Gstaad,Gstaad,9.3,3.5,3.6,2.2,1275,1940,665,1,84.0,90.0,3.1,46.483219146728516,7.274813652038574
San Bernardino,,San Bernardino,40.0,17.0,20.0,3.0,1642,2515,873,11,45.0,48.0,3.1,46.462459564208984,9.192255020141602
Evolène,,Evolène,42.0,15.5,10.6,15.9,1404,2632,1228,5,48.0,51.0,3.1,46.113075256347656,7.4971394538879395
Braunwald,,Braunwald,28.5,8.5,18.0,2.0,1236,1901,665,10,54.0,58.0,3.1,46.953277587890625,8.979976654052734
Pesciüm,Airolo,Airolo,30.0,1.0,15.0,14.0,1175,2250,1075,8,,,3.1,46.52952194213867,8.603241920471191
Nax,Mont-Noble,Mont-Noble,35.0,15.0,20.0,0.0,1495,2640,1145,6,53.0,57.0,3.0,46.22235870361328,7.436079025268555
Kaiseregg,Schwarzsee,Schwarzsee,20.0,10.5,6.5,3.0,1047,1751,704,6,46.0,49.0,3.0,45.99104309082031,7.710203647613525
Moléson,,Moléson,30.0,19.0,4.0,7.0,1109,1978,869,6,42.0,45.0,3.0,46.55396270751953,7.030523300170898
La Braye,Château d'Oex,Château d'Oex,18.5,10.5,0.0,8.0,1215,1630,415,7,,,3.0,46.47412872314453,7.130315780639648
Brambrüesch,Chur,Chur,20.0,8.0,8.0,4.0,1170,2174,1004,5,45.0,48.0,nan,46.864017486572266,9.535412788391113
Jaun,,Jaun,20.0,9.0,9.0,2.0,1023,1571,548,4,44.0,47.0,nan,46.6102294921875,7.288549423217773
Giw,Visperterminen,Visperterminen,20.5,3.5,12.5,4.5,1381,2309,928,5,49.0,52.0,3.0,46.2725830078125,7.893075466156006
La Dôle,,La Dôle,28.6,17.5,8.7,2.4,1160,1678,518,21,40.0,42.8,3.0,46.521453857421875,6.645035266876221
Oeschinensee,Kandersteg,Kandersteg,13.0,4.1,8.9,0.0,1200,1730,530,6,40.0,43.0,2.9,46.49701690673828,7.678554534912109
Arolla,,Arolla,47.0,20.0,18.0,9.0,1984,2877,893,5,48.0,51.0,2.9,46.056339263916016,7.457503795623779
Darlux,Bergün,Bergün,20.0,4.0,15.0,1.0,1384,2569,1185,3,45.0,48.0,2.9,46.63146209716797,9.744026184082031
Wispile,Gstaad,Gstaad,8.9,3.6,3.7,1.6,1043,1939,896,5,84.0,90.0,2.9,46.483219146728516,7.274813652038574
Unterbäch,Brandalp,Brandalp,19.0,10.0,6.0,3.0,1230,2443,1213,7,49.0,52.0,2.9,47.04842758178711,9.124449729919434
Elsigen-Metsch,Frutigen,Frutigen,30.0,10.0,17.0,3.0,1334,2289,955,11,,,2.9,46.582515716552734,7.65067195892334
TschentenAlp,Adelboden,Adelboden,10.0,1.5,7.0,1.5,1367,1950,583,4,49.0,52.0,2.8,47.06343460083008,8.622342109680176
La Robella,Buttes,Buttes,20.0,10.0,5.0,5.0,780,1446,666,4,29.0,31.0,2.8,46.87736892700195,6.507267475128174
Sarn,,Sarn,20.0,8.0,10.0,2.0,1300,2075,775,4,36.0,38.0,2.8,46.723941802978516,9.403610229492188
Diemtigen,,Diemtigen,17.5,9.5,5.0,3.0,984,1868,884,7,55.0,59.0,2.8,46.6465950012207,7.555321216583252
Marbach,Marbachegg,Marbachegg,7.4,5.0,2.4,0.0,885,1474,589,5,41.0,44.0,2.8,46.834869384765625,7.906062126159668
Hochwang,Goldgruben,Goldgruben,20.0,9.0,9.0,2.0,1544,2299,755,3,55.0,59.0,2.8,47.14760971069336,7.278533458709717
Les Mosses,,Les Mosses,40.0,10.0,30.0,0.0,1379,1874,495,14,65.0,69.0,2.8,46.631065368652344,6.97030782699585
Bivio,,Bivio,30.0,13.0,13.0,4.0,1769,2560,791,4,46.0,49.0,2.8,46.46905517578125,9.649895668029785
Rosswald,Brig,Brig,9.0,3.0,2.0,4.0,1820,2536,716,6,49.0,52.0,2.8,46.31845474243164,7.98712158203125
La Fouly,,La Fouly,15.0,6.0,4.0,5.0,1607,2172,565,4,43.0,46.0,2.8,45.93663024902344,7.098944664001465
Bugnenets-Savagnières,Saint-Imier,Saint-Imier,30.0,10.0,10.0,10.0,1078,1449,371,8,42.0,45.0,2.8,47.151058197021484,6.992454528808594
Champex-Lac,,Champex-Lac,15.0,10.5,3.0,1.5,1468,2194,726,4,43.0,46.0,2.8,46.02708053588867,7.120485305786133
Sattel,Hochstuckli,Hochstuckli,3.0,2.0,1.0,0.0,800,1491,691,6,35.0,37.0,2.8,47.06129837036133,8.659419059753418
Amden,Arvenbüel,Arvenbüel,17.0,5.5,11.5,0.0,931,1684,753,6,38.0,41.0,2.8,47.150299072265625,9.164973258972168
Eischoll,,Eischoll,15.0,10.0,4.5,0.5,1260,2200,940,4,49.0,52.0,2.8,46.27672576904297,7.764072418212891
Minschuns,Val Müstair-Tschierv,Val Müstair-Tschierv,25.0,17.0,5.0,3.0,2126,2673,547,4,42.0,45.0,2.8,46.62961196899414,10.323244094848633
Heidbodme,Saas-Almagell,Saas-Almagell,15.4,6.9,8.5,0.0,1684,2347,663,7,55.0,59.0,2.7,46.107635498046875,8.007623672485352
Vichères,,Vichères,15.0,7.0,5.0,3.0,1595,2267,672,4,43.0,46.0,2.7,45.9962158203125,7.166924476623535
Rothwald,,Rothwald,25.0,5.0,15.0,5.0,1750,2270,520,3,44.0,47.0,2.7,46.28093719482422,8.039743423461914
Engstligenalp,Adelboden,Adelboden,17.0,7.0,6.0,4.0,1971,2353,382,8,,,2.7,47.06343460083008,8.622342109680176
Axalp,,Axalp,15.0,11.0,1.5,2.5,1422,1959,537,6,55.0,59.0,2.7,46.72386169433594,8.037097930908203
Feldis,,Feldis,10.3,0.3,7.5,2.5,1480,1996,516,4,39.0,42.0,2.7,46.79501724243164,9.434045791625977
Brunni,Engelberg,Engelberg,8.5,3.7,2.9,1.9,1013,2075,1062,10,46.0,49.0,2.7,47.18781280517578,8.010319709777832
Tschappina,,Tschappina,25.0,4.0,21.0,0.0,1580,2180,600,7,36.0,38.0,2.7,46.743961334228516,9.071603775024414
Wolzenalp,Krummenau,Krummenau,12.2,0.2,9.0,3.0,728,1464,736,6,38.0,41.0,2.7,47.24061965942383,9.161450386047363
Pischa,,Pischa,0.0,0.0,0.0,0.0,1800,2483,683,1,,,2.7,46.809322357177734,9.919135093688965
Schwanden,Sigriswil,Sigriswil,20.0,11.0,6.0,3.0,1070,1460,390,3,32.0,34.0,2.6,46.71548843383789,7.7073073387146
Ebenalp,Wasserauen,Wasserauen,10.0,1.0,7.5,1.5,848,1720,872,7,38.0,41.0,2.6,47.276275634765625,9.391256332397461
Grimmialp,,Grimmialp,7.2,3.0,1.4,2.8,1233,1833,600,3,42.0,45.0,2.6,46.575645446777344,7.486373424530029
Kiental,,Kiental,7.0,2.0,5.0,0.0,926,1490,564,3,20.0,21.0,2.6,46.58408737182617,7.7226972579956055
Les Rasses,Sainte-Croix,Sainte-Croix,20.0,10.0,10.0,0.0,1142,1565,423,9,35.0,37.0,2.6,47.392662048339844,7.069855213165283
Jeizinen Feselalp,Gampel,Gampel,8.0,6.0,2.0,0.0,1519,2193,674,6,46.0,49.0,2.6,47.01980209350586,8.901203155517578
Schatzalp,Strela,Strela,7.8,6.1,1.7,0.0,1609,2352,743,4,43.0,46.0,2.6,46.8344612121582,9.558746337890625
Biel-Kinzig,Bürglen,Bürglen,7.0,2.5,4.5,0.0,1630,1930,300,5,40.0,43.0,2.6,46.96928787231445,8.769762992858887
Espace Super Saint-Bernard,Bourg-St-Pierre,Bourg-St-Pierre,15.0,3.0,0.0,12.0,1950,2800,850,3,38.0,41.0,nan,45.89531326293945,7.182081699371338
Rüschegg-Eywald,Lischboden,Lischboden,13.0,8.0,4.0,1.0,1050,1550,500,2,38.0,41.0,2.6,46.7418212890625,7.424880504608154
Niederhorn,Beatenberg,Beatenberg,5.0,2.0,3.0,0.0,1127,1945,818,3,42.0,45.0,2.6,46.6885986328125,7.814966678619385
Mörlialp,Giswil,Giswil,12.0,2.8,7.2,2.0,1355,1837,482,8,45.0,48.0,2.6,46.86353302001953,8.155722618103027
Eggberge,Altdorf,Altdorf,8.0,4.0,4.0,0.0,1460,1740,280,2,32.0,34.0,2.6,46.88406753540039,8.638408660888672
Languard,Pontresina,Pontresina,1.0,1.0,0.0,0.0,1830,1920,90,5,35.0,37.0,2.6,46.4935302734375,9.90217113494873
Tramelan,,Tramelan,14.0,6.0,6.0,2.0,920,1228,308,3,32.0,34.0,2.6,47.220829010009766,7.106607913970947
Fideriser Heuberge,Fideris,Fideris,15.0,5.0,9.0,1.0,1952,2356,404,4,46.0,49.0,2.6,46.91518020629883,9.740965843200684
Schwefelberg,Badmatte,Badmatte,7.0,5.0,0.0,2.0,1386,1704,318,1,28.0,30.0,2.6,47.034629821777344,7.626102924346924
Atzmännig,Goldingen,Goldingen,8.0,3.0,5.0,0.0,821,1198,377,5,35.0,37.0,2.5,47.2635612487793,8.96599006652832
Rigi,Scheidegg,Scheidegg,5.0,5.0,0.0,0.0,1012,1656,644,5,34.0,36.0,2.5,47.3007926940918,9.35722827911377
La Forclaz,,La Forclaz,15.0,8.0,7.0,0.0,1730,2200,470,3,28.0,30.0,2.5,46.05557632446289,7.0015692710876465
Gitschenen,Isenthal,Isenthal,5.0,3.0,2.0,0.0,1353,1570,217,2,32.0,34.0,2.5,46.91292190551758,8.579693794250488
Les Paccots,Corbetta,Corbetta,9.0,5.0,2.0,2.0,1065,1593,528,11,39.0,42.0,2.5,46.514183044433594,6.942561149597168
Rigi,,Rigi,9.0,4.5,4.5,0.0,1315,1752,437,7,78.0,83.0,2.5,47.02582931518555,8.524199485778809
Säntis,Schwägalp,Schwägalp,0.0,0.0,0.0,0.0,1351,2473,1122,1,,,2.5,47.26875686645508,9.32397174835205
Gspon,,Gspon,5.0,1.5,3.5,0.0,1865,2193,328,4,41.0,44.0,2.5,46.22529983520508,7.902390480041504
Ratzi,Spiringen,Spiringen,3.6,2.0,1.6,0.0,950,1840,890,2,36.0,38.0,2.5,46.8696403503418,8.754908561706543
Avers,,Avers,8.0,2.0,2.0,4.0,1988,2539,551,3,35.0,37.0,2.5,46.505889892578125,9.4657564163208
Blonay,,Blonay,8.0,4.0,4.0,0.0,1080,1360,280,7,37.0,39.0,2.5,46.476009368896484,6.899766445159912
L'Abbaye,,L'Abbaye,10.0,6.0,3.0,1.0,1010,1437,427,4,30.0,32.0,2.5,46.92864227294922,6.828085422515869
Le Pâquier,Val-de-Ruz,Val-de-Ruz,10.0,5.5,2.5,2.0,862,1263,401,3,32.0,34.0,2.5,47.05558776855469,6.877685546875
Selital,Schwarzenbühl,Schwarzenbühl,10.1,4.7,4.3,1.1,1299,1606,307,3,40.0,43.0,2.5,46.74787521362305,7.388399600982666
Bumbach,,Bumbach,10.0,6.0,3.0,1.0,920,1365,445,4,35.0,37.0,2.5,47.17528533935547,8.5855131149292
Neusell,Rothenthurm-Biberegg,Rothenthurm-Biberegg,10.0,5.0,3.5,1.5,954,1329,375,3,29.0,31.0,2.5,47.091766357421875,8.667120933532715
Les Breuleux,,Les Breuleux,10.0,5.0,4.0,1.0,1070,1246,176,2,24.0,26.0,2.5,47.21285629272461,7.001491546630859
Habkern,Sattelegg,Sattelegg,8.0,2.0,4.0,2.0,1100,1485,385,2,37.0,39.0,2.5,46.75276184082031,7.740549564361572
Bannalp,Oberrickenbach,Oberrickenbach,3.0,2.5,0.5,0.0,1663,1793,130,3,34.0,36.0,2.4,46.89530563354492,8.407651901245117
Aeschiried,,Aeschiried,9.5,6.5,3.0,0.0,927,1389,462,3,35.0,37.0,2.4,46.64799118041992,7.715985298156738
Kerenzerberg,Filzbach,Filzbach,0.0,0.0,0.0,0.0,746,1283,537,1,,,2.4,47.11302185058594,9.134771347045898
Fanas,,Fanas,0.5,0.5,0.0,0.0,900,1700,800,2,,,2.4,46.98313522338867,9.6589994430542
Rathvel,Châtel-St-Denis,Châtel-St-Denis,8.0,5.0,3.0,0.0,1211,1491,280,4,30.0,32.0,2.4,46.536598205566406,6.896896839141846
Schilt,Mollis,Mollis,6.0,3.0,3.0,0.0,1100,1602,502,2,33.0,35.0,2.4,47.48542404174805,9.293002128601074
Sollegg,Appenzell,Appenzell,7.0,5.0,2.0,0.0,813,1204,391,2,27.0,29.0,2.4,47.21883010864258,9.023334503173828
Rossberg,Oberwil,Oberwil,7.0,3.2,3.8,0.0,1148,1464,316,2,37.0,39.0,2.4,47.541481018066406,8.871923446655273
L'Orient,,L'Orient,6.0,2.0,3.0,1.0,1010,1283,273,2,30.0,32.0,2.4,46.60126495361328,6.239060878753662
Seebodenalp,Küssnacht,Küssnacht,2.5,2.0,0.5,0.0,1036,1225,189,3,15.0,16.0,2.4,47.09376525878906,8.433895111083984
Jaunpass,Boltigen,Boltigen,6.0,3.8,1.2,1.0,1406,1608,202,4,34.0,36.0,2.4,46.59294128417969,7.339478969573975
Springenboden,,Springenboden,6.0,1.5,4.0,0.5,1207,1525,318,3,28.0,30.0,2.4,46.62062454223633,7.569882392883301
Brüsti,Attinghausen,Attinghausen,1.5,0.1,1.4,0.0,1428,1601,173,4,32.0,34.0,2.4,46.8531379699707,8.628704071044922
Rüschegg,,Rüschegg,6.0,4.0,2.0,0.0,1340,1590,250,3,37.0,39.0,2.4,46.77888107299805,7.392108917236328
Le Brassus,,Le Brassus,5.0,2.5,1.5,1.0,1060,1361,301,2,30.0,32.0,2.4,46.57990264892578,6.20626974105835
Eriz,,Eriz,6.0,4.0,2.0,0.0,1044,1378,334,6,34.0,36.0,2.4,46.84681701660156,7.697291374206543
Dent de Vaulion,Vaulion,Vaulion,5.0,2.5,1.5,1.0,1150,1478,328,2,30.0,32.0,2.4,46.68792724609375,6.387874126434326
Wirzweli,Dallenwil,Dallenwil,1.0,1.0,0.0,0.0,1215,1350,135,3,31.0,33.0,2.3,46.92491912841797,8.375000953674316
Balmberg,,Balmberg,5.0,2.0,3.0,0.0,1062,1270,208,3,32.0,34.0,2.3,46.870338439941406,7.4107208251953125
Steg im Tösstal,,Steg im Tösstal,5.0,3.0,2.0,0.0,700,1000,300,2,30.0,32.0,2.3,47.35836410522461,8.922954559326172
Pany,,Pany,5.0,3.0,2.0,0.0,1330,1550,220,2,32.0,34.0,2.3,46.926002502441406,9.765871047973633
Prato,,Prato,4.0,1.0,2.0,1.0,1045,1270,225,2,21.0,22.0,2.3,46.39521789550781,8.657382011413574
Les Prés d'Orvin,,Les Prés d'Orvin,5.0,2.5,2.5,0.0,1030,1230,200,5,30.0,32.0,2.3,47.156497955322266,7.173892974853516
Haldigrat,,Haldigrat,0.0,0.0,0.0,0.0,1230,1937,707,1,,,nan,46.90304183959961,8.439825057983398
Heiden,Bischofsberg,Bischofsberg,5.0,4.0,1.0,0.0,810,940,130,2,28.0,30.0,2.3,47.43480682373047,9.53592300415039
La Corbatière,La Roche,La Roche,4.6,2.1,1.5,1.0,1090,1348,258,3,25.0,27.0,2.3,46.9293098449707,6.744411945343018
Les Genevez,,Les Genevez,4.0,2.0,1.5,0.5,1024,1147,123,2,20.0,21.0,2.3,47.2591552734375,7.129975318908691
Tenna,,Tenna,4.5,3.5,1.0,0.0,1660,1780,120,1,25.0,27.0,2.3,46.75126266479492,9.341872215270996
Fischenthal-Aurüti,Oberegg,Oberegg,4.0,1.7,1.5,0.8,827,1052,225,2,29.0,31.0,2.3,47.3167839050293,8.930787086486816
Vorderthal,Wägital,Wägital,3.0,2.0,1.0,0.0,750,1260,510,1,,,2.3,47.125816345214844,8.895785331726074
Tanzboden,Ebnat-Kappel,Ebnat-Kappel,3.5,2.0,1.5,0.0,865,1181,316,2,32.0,34.0,2.3,47.27152633666992,9.114234924316406
Oberholz,Farner,Farner,4.0,3.0,1.0,0.0,852,1155,303,3,32.0,34.0,2.3,47.26763916015625,7.625383377075195
Alpsteinblick,Gonten,Gonten,4.0,3.0,1.0,0.0,890,1142,252,3,27.0,29.0,2.3,47.326873779296875,9.360555648803711
Pian Cales,San Bernardino,San Bernardino,4.5,2.9,1.6,0.0,1625,1791,166,4,25.0,27.0,2.3,46.462459564208984,9.192255020141602
Hohe Winde,Beinwil,Beinwil,4.0,3.0,1.0,0.0,760,1060,300,2,28.0,30.0,2.3,47.359378814697266,7.607367515563965
Hohwald,Beatenberg-Waldegg,Beatenberg-Waldegg,4.0,2.0,2.0,0.0,1291,1605,314,3,32.0,34.0,2.3,46.703643798828125,7.810190677642822
Ottenleue,Sangernboden,Sangernboden,3.6,1.7,1.1,0.8,1450,1600,150,1,26.0,28.0,2.3,46.71427917480469,7.345165252685547
Heiligkreuz-First,Hasle,Hasle,4.0,2.0,2.0,0.0,1133,1468,335,2,25.0,27.0,2.3,47.01571273803711,7.64551305770874
Dent de Jaman,Montreux,Montreux,3.0,0.0,3.0,0.0,1354,1738,384,2,37.0,39.0,2.3,46.433319091796875,6.9167046546936035
Gurten,Bern,Bern,0.2,0.2,0.0,0.0,845,855,10,2,5.0,5.0,2.3,47.12507247924805,7.609008312225342
Sommartel,Le Locle,Le Locle,3.0,1.6,0.6,0.8,1117,1301,184,2,20.0,21.0,2.3,47.07339096069336,6.775059223175049
Aela,Maloja,Maloja,3.0,0.5,1.5,1.0,1801,2136,335,2,35.0,37.0,2.3,46.39104461669922,9.700577735900879
Mastrils,,Mastrils,3.0,2.0,1.0,0.0,720,940,220,1,18.0,19.0,2.3,46.95574188232422,9.541077613830566
Le Crêt-Meuron,Fontaines,Fontaines,3.0,2.0,1.0,0.0,1270,1340,70,1,25.0,27.0,2.3,46.837589263916016,6.622531890869141
Zugerberg,,Zugerberg,0.2,0.2,0.0,0.0,925,940,15,3,5.0,5.0,2.3,47.14391326904297,8.53287410736084
Chapeau Râblé,La Chaux-de-Fonds,La Chaux-de-Fonds,3.0,2.0,1.0,0.0,1087,1233,146,1,24.0,26.0,2.3,47.0870246887207,6.858084678649902
Gfellen,Entlebuch-Finsterwald,Entlebuch-Finsterwald,4.5,4.5,0.0,0.0,1025,1295,270,2,25.0,27.0,2.3,46.959228515625,8.128652572631836
Eggiwil,Netschbühl,Netschbühl,3.0,2.5,0.5,0.0,720,1020,300,1,27.0,29.0,2.3,46.88493728637695,7.770223617553711
St. Antönien,,St. Antönien,3.0,2.0,1.0,0.0,1405,1656,251,2,,,2.3,46.972530364990234,9.794449806213379
St. Cergue,,St. Cergue,3.0,2.0,1.0,0.0,1040,1220,180,3,20.0,21.0,2.3,46.45183181762695,6.173648834228516
Homberg,,Homberg,3.0,3.0,0.0,0.0,940,1093,153,1,20.0,21.0,2.2,46.96773910522461,8.124884605407715
Mutten,,Mutten,3.0,3.0,0.0,0.0,1724,1863,139,1,23.0,25.0,2.2,46.95707702636719,9.18055534362793
Münster-Geschinen,,Münster-Geschinen,3.0,3.0,0.0,0.0,1363,1645,282,2,25.0,27.0,2.2,46.50642776489258,8.259343147277832
