skiregion1,skiregion2,ort,length_total_slope,length_blue_slope,length_red_slope,length_black_slope,altitude_start,altitude_end,altitude_difference,number_of_ski_lifts,price_day_pass_chf,price_day_pass_euro,rating,lat,lon
Survih,Samedan,Samedan,1.5,1.5,0.0,0.0,1760,1912,152,3,39.0,42.0,2.2,46.53407669067383,9.870110511779785
Bennau,Einsiedeln,Einsiedeln,1.0,1.0,0.0,0.0,882,1056,174,3,34.0,36.0,2.2,47.13535690307617,8.762859344482422
Les Verrières,,Les Verrières,1.8,1.6,0.2,0.0,920,1010,90,2,10.0,11.0,2.2,46.88554763793945,6.491994857788086
Urnäsch,Osteregg,Osteregg,1.7,1.7,0.0,0.0,850,1080,230,2,27.0,29.0,2.2,47.30386734008789,9.290077209472656
Mont Gibloux,,Mont Gibloux,1.4,1.0,0.4,0.0,965,1152,187,2,18.0,19.0,2.2,46.727500915527344,7.049309253692627
Ischgl,Silvretta,Silvretta,239.0,47.0,140.0,52.0,1360,2872,1512,46,76.0,81.32,4.8,46.86532211303711,9.881555557250977
Kleine Scheidegg,Grindelwald,Grindelwald,102.0,33.0,56.0,13.0,944,2400,1456,23,79.0,84.0,4.2,47.032752990722656,8.096479415893555
Arosa,,Arosa,225.0,110.0,87.0,28.0,1229,2865,1636,43,89.0,95.0,4.7,46.792945861816406,9.699030876159668
Aletsch Arena,Riederalp,Riederalp,104.0,42.0,50.0,12.0,1845,2869,1024,35,66.0,70.0,4.4,46.37905502319336,8.026102066040039
First,Grindelwald,Grindelwald,49.0,30.0,11.0,8.0,1050,2500,1450,10,79.0,84.0,nan,47.032752990722656,8.096479415893555
Pizol,Bad Ragaz,Bad Ragaz,50.0,15.5,21.5,13.0,510,2227,1717,12,67.0,72.0,nan,46.99177932739258,9.52120304107666
Wildhaus,Gamserrugg,Gamserrugg,23.0,3.0,17.0,3.0,1020,2076,1056,6,61.0,65.0,3.9,47.159297943115234,9.337640762329102
Flumserberg,,Flumserberg,65.0,14.0,40.0,11.0,665,2222,1557,17,72.0,77.0,4.2,47.0947265625,9.323103904724121
Hohsaas,Saas-Grund,Saas-Grund,26.1,4.4,19.6,2.1,1559,3200,1641,8,59.0,63.0,3.8,46.11603927612305,7.941812038421631
Sernftal,,Sernftal,40.0,15.0,20.0,5.0,1020,2105,1085,5,53.0,57.0,3.7,46.93747329711914,9.16993522644043
Bellwald,,Bellwald,20.0,10.5,7.8,1.7,1600,2558,958,5,,,3.8,46.42961120605469,8.155799865722656
St. Moritz,Corviglia,Corviglia,155.0,42.0,79.0,34.0,1772,3057,1285,23,,,4.7,46.503509521484375,9.823087692260742
Zermatt,Zermatt,Zermatt,322.0,75.0,220.0,27.0,1562,3899,2337,51,103.0,110.0,4.5,45.983341217041016,7.783561706542969
Laax,,Laax,224.0,97.0,76.0,51.0,1100,3018,1918,30,,,4.5,46.818084716796875,9.264965057373047
Adelboden,Adelboden,Adelboden,86.0,46.0,34.0,6.0,1260,2200,940,25,60.0,64.0,4.4,47.06343460083008,8.622342109680176
Andermatt,,Andermatt,70.0,18.0,40.0,12.0,1444,2600,1156,13,89.0,95.0,4.4,46.58613204956055,8.660548210144043
4 Vallées,Verbier,Verbier,412.0,107.0,202.0,103.0,1350,3330,1980,68,89.0,95.0,4.3,46.09706115722656,7.223955154418945
Scuol,Motta Naluns,Motta Naluns,70.0,27.0,32.0,11.0,1250,2785,1535,12,69.0,74.0,4.3,46.811153411865234,10.272025108337402
Titlis,Engelberg,Engelberg,70.0,18.0,42.5,9.5,1003,3020,2017,18,,,4.3,47.18781280517578,8.010319709777832
Les Portes du Soleil,Val-d'Illiez,Val-d'Illiez,580.0,310.0,210.0,60.0,985,2254,1269,165,70.0,74.9,4.3,46.19984817504883,6.892393112182617
Parsenn,,Parsenn,95.5,17.3,60.5,17.7,810,2844,2034,18,84.0,90.0,4.2,46.81085205078125,9.845303535461426
Obersaxen,,Obersaxen,120.0,60.0,40.0,20.0,1201,2310,1109,15,65.0,69.0,4.2,46.743961334228516,9.071603775024414
Jakobshorn,,Jakobshorn,41.2,25.5,13.2,2.5,1535,2568,1033,13,84.0,90.0,4.2,46.7722282409668,9.848581314086914
Grimentz,,Grimentz,115.0,26.5,58.6,29.9,1570,2900,1330,21,72.0,77.0,4.2,46.18134689331055,7.575004577636719
Belalp,Blatten,Blatten,38.5,15.1,12.1,11.3,1322,3118,1796,13,71.0,76.0,4.1,46.79722213745117,8.013700485229492
Corvatsch,,Corvatsch,120.0,13.0,89.3,17.7,1797,3303,1506,14,,,4.1,46.417972564697266,9.821471214294434
Brigels,,Brigels,40.0,11.0,26.0,3.0,1102,2418,1316,10,65.0,69.0,nan,46.76862335205078,9.061051368713379
Rinderberg,Zweisimmen,Zweisimmen,88.9,64.3,20.6,4.0,948,2011,1063,15,84.0,90.0,nan,46.582088470458984,7.416720867156982
Saas-Fee,,Saas-Fee,100.0,20.0,60.0,20.0,1800,3573,1773,23,82.0,88.0,nan,46.11110305786133,7.92970085144043
Stoos,Fronalpstock,Fronalpstock,35.0,4.0,21.0,10.0,1300,1935,635,8,58.0,62.0,3.8,46.96971893310547,8.637025833129883
Hoch-Ybrig,Unteriberg,Unteriberg,50.0,15.0,30.0,5.0,1040,1831,791,12,59.0,63.0,3.8,47.0718879699707,8.803396224975586
Lauchernalp,Lötschental,Lötschental,40.0,18.0,15.0,7.0,1403,3100,1697,6,,,3.8,46.31977844238281,7.751288414001465
Meiringen,,Meiringen,60.0,20.0,34.0,6.0,1065,2433,1368,13,62.0,66.0,3.8,46.72377014160156,8.193720817565918
Schilthorn,Mürren,Mürren,54.0,19.0,23.0,12.0,796,2970,2174,16,79.0,84.0,3.7,46.55590057373047,7.8850555419921875
Madrisa,,Madrisa,22.9,6.2,9.2,7.5,1142,2602,1460,8,70.0,75.0,3.7,46.80320739746094,9.837043762207031
Crans-Montana,,Crans-Montana,140.0,55.0,70.0,15.0,1510,2927,1417,19,89.0,95.0,3.7,46.313446044921875,7.500048637390137
Disentis,,Disentis,60.0,20.0,30.0,10.0,1227,2833,1606,12,64.0,68.0,3.7,46.707218170166016,8.863862037658691
Zuoz,Pizzet,Pizzet,15.0,9.0,3.0,3.0,1720,2465,745,5,56.0,60.0,3.6,46.60713195800781,10.372923851013184
Gemsstock,Andermatt,Andermatt,31.0,0.0,14.0,17.0,1444,2961,1517,4,89.0,95.0,3.6,46.58613204956055,8.660548210144043
Grüsch,,Grüsch,34.0,8.0,20.0,6.0,600,1800,1200,6,61.0,65.0,3.6,46.9788818359375,9.653074264526367
Savognin,,Savognin,73.5,32.5,38.0,3.0,1168,2713,1545,12,,,3.6,46.5943489074707,9.618587493896484
Diavolezza,,Diavolezza,35.0,0.0,27.0,8.0,2093,3006,913,5,,,3.6,46.41194534301758,9.965065956115723
Villars,,Villars,84.0,43.0,38.0,3.0,1224,2120,896,25,69.0,74.0,3.5,46.6763916015625,6.500712871551514
Splügen,Tambo,Tambo,30.0,12.0,12.0,6.0,1484,2215,731,7,61.0,65.0,3.5,47.42216110229492,9.356719017028809
Eggli,Gstaad,Gstaad,58.0,35.2,17.4,5.4,992,2151,1159,9,84.0,90.0,3.5,46.483219146728516,7.274813652038574
Rinerhorn,,Rinerhorn,51.5,15.6,23.1,12.8,1459,2490,1031,7,66.0,70.0,3.5,46.743492126464844,9.78531551361084
Grächen,,Grächen,44.0,9.0,33.0,2.0,1619,2864,1245,11,69.0,74.0,3.4,46.198341369628906,7.842075824737549
Anzère,,Anzère,58.0,12.0,37.0,9.0,1516,2420,904,13,65.0,69.0,3.4,46.29863357543945,7.406392574310303
Chäserrugg,Unterwasser,Unterwasser,50.0,8.0,40.0,2.0,900,2262,1362,12,52.0,56.0,3.3,47.18274688720703,9.32045841217041
Bürchen,Moosalp,Moosalp,25.0,10.0,10.0,5.0,1476,2532,1056,8,49.0,52.0,3.3,46.236942291259766,7.852542877197266
