skiregion1,skiregion2,ort,length_total_slope,length_blue_slope,length_red_slope,length_black_slope,altitude_start,altitude_end,altitude_difference,number_of_ski_lifts,price_day_pass_chf,price_day_pass_euro,rating,lat,lon,canton
Staffelalp,Zeglingen,Zeglingen,0.5,0.1,0.3,0.1,726,782,56,1,,,2.0,47.40998458862305,7.892963409423828,BL
Les Loges,La Vue des Alpes,La Vue des Alpes,1.0,1.0,0.0,0.0,1235,1260,25,2,,,2.0,47.07280731201172,6.870323181152344,NE
Bernina,,Bernina,0.0,0.0,0.0,0.0,2000,3300,1300,0,,,,46.44509506225586,9.9691162109375,GR
Trachselwald,,Trachselwald,0.5,0.5,0.0,0.0,685,715,30,1,10.0,11.0,,47.020904541015625,7.737001895904541,BE
Bügls,S-chanf,S-chanf,0.5,0.5,0.0,0.0,1670,1700,30,1,10.0,11.0,,46.6120491027832,9.984933853149414,GR
La Brévine,,La Brévine,0.8,0.8,0.0,0.0,1048,1100,52,1,3.0,3.0,,46.96433639526367,6.616907596588135,NE
Raten,Oberägeri,Oberägeri,0.8,0.8,0.0,0.0,1077,1119,42,2,14.0,15.0,,47.13373947143555,8.632028579711914,ZG
Guttannen,,Guttannen,0.5,0.5,0.0,0.0,1057,1150,93,1,,,,46.65576171875,8.291236877441406,BE
Täsch,,Täsch,0.5,0.5,0.0,0.0,1450,1500,50,1,,,,46.059261322021484,7.809818744659424,VS
Rüegsau,,Rüegsau,0.5,0.5,0.0,0.0,590,650,60,1,,,,47.01717758178711,7.657235622406006,BE
LiFu,Val Müstair,Val Müstair,0.3,0.3,0.0,0.0,1611,1640,29,1,10.0,11.0,2.0,46.60110855102539,10.41862678527832,GR
Bottenwil,Bottenwil,Bottenwil,0.3,0.3,0.0,0.0,600,630,30,1,10.0,11.0,2.0,47.28184127807617,8.00417423248291,AG
Les Haudères,Les Haudères,Les Haudères,0.1,0.1,0.0,0.0,1450,1455,5,1,5.0,5.0,2.0,46.08589172363281,7.49174165725708,VS
Mottalift,Serneus,Serneus,0.4,0.4,0.0,0.0,999,1014,15,1,15.0,16.0,2.0,46.893089294433594,9.844528198242188,GR
Oberwald,,Oberwald,0.2,0.2,0.0,0.0,1373,1404,31,1,7.0,7.0,2.0,47.0165901184082,8.089827537536621,LU
Lommiswil,Lommiswil,Lommiswil,0.2,0.2,0.0,0.0,620,680,60,1,16.0,17.0,2.0,47.218963623046875,7.473718643188477,SO
Rossa,,Rossa,0.4,0.4,0.0,0.0,1100,1150,50,2,15.0,16.0,2.0,46.200897216796875,8.671957015991211,TI
Lucky,Aeschi,Aeschi,0.2,0.2,0.0,0.0,860,890,30,1,15.0,16.0,2.0,46.94929122924805,8.263134956359863,OW
Schlösslihang,St. Gallen,St. Gallen,0.3,0.3,0.0,0.0,660,690,30,1,16.0,17.0,2.0,47.42531967163086,9.382689476013184,SG
Nollen,Hosenruck,Hosenruck,0.3,0.3,0.0,0.0,687,725,38,1,15.0,16.0,2.0,47.489994049072266,9.122780799865723,TG
Asp,,Asp,0.3,0.3,0.0,0.0,575,650,75,1,10.0,11.0,2.0,47.295753479003906,8.706899642944336,ZH
Wildberg,Wildberg,Wildberg,0.2,0.2,0.0,0.0,685,710,25,1,15.0,16.0,2.0,47.14365005493164,7.904281139373779,LU
Randa,,Randa,0.2,0.2,0.0,0.0,1421,1435,14,1,8.0,9.0,2.0,46.100341796875,7.782547473907471,VS
Stich,Opfertshofen,Opfertshofen,0.3,0.3,0.0,0.0,600,665,65,1,10.0,11.0,2.0,47.768455505371094,8.6593017578125,SH
Egg,Hallau,Hallau,0.2,0.2,0.0,0.0,520,560,40,1,10.0,11.0,2.0,47.697479248046875,8.465217590332031,SH
Saxeten,Saxeten,Saxeten,0.2,0.2,0.0,0.0,1162,1189,27,1,8.0,9.0,2.0,46.63526916503906,7.833619117736816,BE
Blatten,Speicher,Speicher,0.3,0.3,0.0,0.0,900,935,35,1,12.0,13.0,2.0,47.40765380859375,9.442896842956543,AR
Mugi,Netstal,Netstal,0.4,0.4,0.0,0.0,460,550,90,2,10.0,11.0,2.0,47.071781158447266,9.053006172180176,GL
Sitzberg,Fischingen,Fischingen,0.2,0.0,0.2,0.0,770,800,30,1,7.5,8.0,2.0,47.414459228515625,8.967148780822754,TG
Dietikon,,Dietikon,0.2,0.2,0.0,0.0,460,490,30,1,8.0,9.0,2.0,47.40451431274414,8.402215957641602,ZH
Norro-Lift,Adelboden,Adelboden,0.2,0.2,0.0,0.0,1305,1332,27,1,15.0,16.0,2.0,47.06343460083008,8.622342109680176,SZ
Goldiwil,Multenegg,Multenegg,0.2,0.2,0.0,0.0,1100,1120,20,1,5.0,5.0,2.0,46.75998306274414,7.6932830810546875,BE
Horben,Lindenberg,Lindenberg,0.2,0.2,0.0,0.0,765,805,40,1,15.0,16.0,2.0,47.08305358886719,7.968222141265869,LU
Mammern-Klingenzell,,Mammern-Klingenzell,0.2,0.2,0.0,0.0,570,600,30,1,,,2.0,47.637210845947266,8.89915943145752,TG
Bonderlen,,Bonderlen,0.2,0.2,0.0,0.0,1354,1364,10,1,,,2.0,46.489776611328125,7.578065872192383,BE
Tarasp,,Tarasp,0.3,0.3,0.0,0.0,1410,1450,40,1,,,2.0,46.774200439453125,10.25875186920166,GR
Nunningen,,Nunningen,0.2,0.2,0.0,0.0,660,700,40,1,,,2.0,47.39370346069336,7.618746757507324,SO
Mesocco,,Mesocco,0.2,0.2,0.0,0.0,1180,1200,20,1,,,2.0,46.40300369262695,9.227678298950195,GR
Guarda,,Guarda,0.2,0.2,0.0,0.0,1650,1670,20,1,,,2.0,46.776878356933594,10.148367881774902,GR
Ardez,,Ardez,0.3,0.3,0.0,0.0,1476,1526,50,1,,,2.0,46.79677200317383,10.175736427307129,GR
Lukaslift,Grabs,Grabs,0.2,0.2,0.0,0.0,469,482,13,1,,,2.0,47.18913650512695,9.414711952209473,SG
Trient,,Trient,0.1,0.1,0.0,0.0,1320,1350,30,1,,,2.0,45.999473571777344,7.043597221374512,VS
Brot-Plamboz,,Brot-Plamboz,0.4,0.4,0.0,0.0,1050,1100,50,1,,,2.0,47.01603317260742,6.785434722900391,NE
